Model,RMSE,MAE,Std(Pred)
Ridge,2928.9282236327,858.7207223027489,1299.0656017955614
XGBoost,2628.319091796875,579.9132080078125,1901.88037109375
LSTM,4.883013447454707,1.8827600452868274,4.744843439944523
